Código	Nome da Propriedade	Código SIGEF/SNCI	Município	Área_ha	Codigo Único	Lat	Lon
FRP1782	FAZENDA NOVO OESTE III	9500501914261	Formosa do Rio Preto	93,4	9500501914261A	-11,225919	-46,519779
FRP1783	FAZENDA MANGABA	0000276408593	Formosa do Rio Preto	397,1	0000276408593	-11,225962	-46,477025
FRP1784	FAZENDA TIMBÓS  LUGAR BAIXA FUNDA	9500505639435	Formosa do Rio Preto	160,6	9500505639435	-11,228002	-45,092924
FRP1785	FAZENDA CARIOCA, LOTE 29, GLEBA F, G E H	3010860254707	Formosa do Rio Preto	140,5	3010860254707H	-11,228032	-46,430016
FRP1786	FAZENDA TIMBÓ 2  LOTE 01 E LOTE 02	9999549153356	Formosa do Rio Preto	732,5	9999549153356B	-11,228311	-45,126588
FRP1787	FAZENDA EL NIÑO	9500767975029	Formosa do Rio Preto	477,0	9500767975029	-11,230947	-46,476039
FRP1788	FAZENDA ESTRONDO - LOTE 96 A	9290690107660	Formosa do Rio Preto	821,3	9290690107660	-11,231120	-45,706888
FRP1789	FAZENDA ESTRONDO  LOTE 125	0000600689002	Formosa do Rio Preto	685,0	0000600689002A	-11,231394	-45,481307
FRP1790	FAZENDA VITÓRIA IV	9500418022987	Formosa do Rio Preto	1393,8	9500418022987	-11,231458	-45,380291
FRP1791	FAZENDA TIMBÓS  LUGAR BAIXA FUNDA	9500506760637	Formosa do Rio Preto	100,3	9500506760637	-11,231664	-45,092554
FRP1792	FAZENDA SAO LUIZ - LOTE E-5A	0000278386406	Formosa do Rio Preto	1203,8	0000278386406	-11,231820	-45,577733
FRP1793	FAZENDA NOVO OESTE III	9500501914261	Formosa do Rio Preto	94,4	9500501914261B	-11,231924	-46,525171
FRP1794	LOTE E-3 - FAZENDA NOSSA SENHORA APARECIDA	0000436738706	Formosa do Rio Preto	1157,0	0000436738706	-11,232053	-45,593642
FRP1795	FAZENDA ESTRONDO - LOTE 121	0000600688707	Formosa do Rio Preto	744,4	0000600688707	-11,235065	-45,535395
FRP1796	FAZENDA MORRO SANTO I	0000194839154	Formosa do Rio Preto	5265,5	0000194839154	-11,235497	-46,404180
FRP1797	FAZENDA TERRA DOURADA	9500767974723	Formosa do Rio Preto	479,1	9500767974723	-11,235858	-46,481582
FRP1798	FAZENDA ESTRONDO - LOTE 94 B	0000600683225	Formosa do Rio Preto	961,8	0000600683225	-11,236821	-45,766182
FRP1799	FAZENDA LAPA E VEREDA GRANDE	3010860043757	Formosa do Rio Preto	10197,3	3010860043757	-11,237242	-45,255745
FRP1800	FAZENDA TIMBÓS  LUGAR BAIXA FUNDA  PARTE 3	9999032384579	Formosa do Rio Preto	450,4	9999032384579A	-11,237850	-45,095501
FRP1801	FAZENDA ESTRONDO - LOTE 94 A	9261160131293	Formosa do Rio Preto	1044,7	9261160131293	-11,238400	-45,787597
FRP1802	FAZENDA NOSSA SENHORA APARECIDA - LOTE E 04	0000512480616	Formosa do Rio Preto	1144,1	0000512480616	-11,238745	-45,602261
FRP1803	FAZENDA TIMBÓS  LUGAR BAIXA FUNDA  PARTE 3	9999032384579	Formosa do Rio Preto	82,4	9999032384579B	-11,238948	-45,112559
FRP1804	FAZENDA ESTRONDO - LOTE 95 B	0000600683659	Formosa do Rio Preto	837,0	0000600683659	-11,239078	-45,732814
FRP1805	FAZENDA SANTA MARIA  GLEBA DE TERRA N 01	7142320163654	Formosa do Rio Preto	91,8	7142320163654	-11,239878	-46,532343
FRP1806	FAZENDA SANTO ANTONIO LOTE 01	9510218709517	Formosa do Rio Preto	113,0	9510218709517A	-11,240807	-45,149125
FRP1807	FAZENDA PALMEIRA II	3010860256904	Formosa do Rio Preto	497,2	3010860256904	-11,240985	-46,493475
FRP1808	FAZENDA SANTO ANTONIO LOTE 01	9510218709517	Formosa do Rio Preto	330,3	9510218709517B	-11,242688	-45,137537
FRP1809	FAZENDA ESTRONDO  LOTE 127	0000600689002	Formosa do Rio Preto	682,2	0000600689002B	-11,243629	-45,471297
FRP1810	FAZENDA PALMEIRA I  LOTE 32	3010860257390	Formosa do Rio Preto	99,6	3010860257390	-11,244090	-46,517013
FRP1811	PROJETO AGRÍCOLA ESTRONDO LOTE 75A E OUTROS	0000600640178	Formosa do Rio Preto	3268,5	0000600640178	-11,244541	-45,859043
FRP1812	FAZENDA SANTO ANTONIO LOTE 01	9510218709517	Formosa do Rio Preto	58,1	9510218709517C	-11,244622	-45,123396
FRP1813	PROJETO AGRÍCOLA ESTRONDO - GLEBA F	0000600687727	Formosa do Rio Preto	959,7	0000600687727C	-11,245253	-46,177324
FRP1814	FAZENDA ESTRONDO  LOTE 124	0000600689002	Formosa do Rio Preto	552,2	0000600689002C	-11,246258	-45,503983
FRP1815	FAZENDA ESTRADA DO OURO II	9501902264592	Formosa do Rio Preto	500,4	9501902264592	-11,246370	-45,383464
FRP1816	FAZENDA CRISTALINA	9500415467988	Formosa do Rio Preto	40,6	9500415467988	-11,249280	-46,540802
FRP1817	FAZENDA GUARIBAS  PARTE 02	3010860063944	Formosa do Rio Preto	277,2	3010860063944	-11,250608	-45,421928
